OID_,_id1,OBJECTI2,SEGMENT3,INSTALL4,UPGRADE5,PRE_AMA6,STREET_7,FROM_ST8,TO_STRE9,ROADCLA10,CNPCLAS11,SURFACE12,OWNER13,DIR_LOW14,INFRA_L15,SEPA_LO16,SEPB_LO17,ORIG_LO18,DIR_HIG19,INFRA_H20,SEPA_HI21,SEPB_HI22,ORIG_HI23,BYLAWED24,EDITOR25,LAST_ED26,UPGRADE27,CONVERT28,starx,stary,ex,ey,cex,cey,len,lennorm,OBJECTID,Join_Count,TARGET_FID,_id1_1,CENTREL2,LINEAR_26,LINEAR_27,LINEAR_28,LINEAR_29,LINEAR_30,FROM_IN31,TO_INTE32,ONEWAY_33,ONEWAY_34,FEATURE35,FEATURE36,JURISDI37,CENTREL38,OBJECTI39,MI_PRIN40,lenkm,Shape_Length
826,827,827,827,2001,2017, ,Davenport Rd,Spadina Rd,Madison Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40697828,43.67773272,-79.40813089,43.67741656,-79.40755459,43.67757464,99.36209323,0,93,5,826,827,1140818,Davenport,Rd,None,None,Davenport Rd,13462235,13462293,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,15898,15898,0.099362093,0.001195185
832,833,833,833,2005,0, ,St Clair Ave E,Avoca Ave,Inglewood Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2017,-79.38988691,43.68899246,-79.38735391,43.68953448,-79.38862033,43.68926307,212.9136091,0,94,8,832,833,1139282,St Clair,Ave,E,None,St Clair Ave E,13460072,13460004,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,226823,226823,0.1366901,0.002590339
833,834,834,834,2008,0, ,Finch Ave E,Neilson Rd,170.5 M E Blackbird Gt, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.22760057,43.81626586,-79.22223068,43.8171864,-79.2249316,43.81681626,445.6742926,0,95,6,833,834,14184390,Finch,Ave,E,None,Finch Ave E,13442074,14184392,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,171199,171199,0.27511209,0.005459602
834,835,835,835,2008,0, ,Finch Ave E,170.5 M E Blackbird Gt,Morningside Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.22223068,43.8171864,-79.22107221,43.81969829,-79.22101027,43.81825516,323.6472634,0,96,3,834,835,20230426,Finch,Ave,E,None,Finch Ave E,14184392,20230428,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,171248,171248,0.256124069,0.003181397
837,838,838,838,2017,0, ,St Dennis Dr,Don Mills Rd,Linkwood Lane, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33731639,43.71655362,-79.32777906,43.71937597,-79.33257645,43.71808665,843.8194304,0,97,11,837,838,444865,St Dennis,Dr,None,None,St Dennis Dr,13455059,13454949,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,27693,27693,0.243423829,0.010057823
839,840,840,840,2017,0, ,Sheppard Ave W,Don River Blvd,62.9 M E Don River W Branch, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43283289,43.75663465,-79.4292753,43.75744699,-79.43105207,43.75703175,300.4239668,0,98,8,839,840,440440,Sheppard,Ave,W,None,Sheppard Ave W,13449356,13449422,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,44669,44669,0.166215332,0.003649442
849,850,850,850,2005,2021, ,Mill St,Cherry St,Bayview Ave, , , , , , , , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, ,2015,-79.35305648,43.65284832,-79.35739204,43.65132984,-79.35516815,43.65184845,393.4790861,0,99,3,849,850,1145239,Mill,St,None,TO,Mill St,13466560,13466454,-1,Against-Digitization,201500,Local,CITY OF TORONTO,None,233688,233688,0.20200499,0.004633229
856,857,857,857,2016,2019, ,Lower River St,King St E,Bayview Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.35449797,43.65525061,-79.35615858,43.65686863,-79.35532174,43.65606646,224.2081302,0,100,7,856,857,30033284,Eastern Ave Diversion,None,None,None,Eastern Ave Diversion,13465817,30033283,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,239081,239081,0.081689371,0.002318712
862,863,863,863,2016,0, ,Dr Emily Stowe Way,Grenville St,College St, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.38742549,43.66051487,-79.38775633,43.66119164,-79.38759091,43.66085326,79.78858964,0,101,9,862,863,14023284,Dr. Emily Stowe,Way,None,None,Dr. Emily Stowe Way,13465052,14023286,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,128241,128241,0.038690192,0.000753312
864,865,865,865,2016,0, ,Lansdowne Ave,42.5 M S Dupont St,Lappin Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44631593,43.66635781,-79.44573788,43.66489674,-79.4460269,43.66562728,168.8961053,0,102,8,864,865,14012861,Lansdowne,Ave,None,None,Lansdowne Ave,14012863,14012864,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,8770,8770,0.128877796,0.001571267
865,866,866,866,2016,0, ,Peter St,Queen St W,King St W, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.39370231,43.64935117,-79.39232854,43.64605455,-79.39300923,43.64770528,382.7189158,0,103,20,865,866,14025400,Peter,St,None,None,Peter St,14025401,13467204,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,173138,173138,0.094512547,0.003572093
866,867,867,867,2005,2016, ,Logan Ave,McConnell Ave,Bain Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.34720211,43.67195868,-79.34894387,43.67613342,-79.34807303,43.67404603,484.6406332,0,104,20,866,867,1141438,Logan,Ave,None,None,Logan Ave,13462863,13462725,1,Follow-Digitization,201400,Collector,CITY OF TORONTO,None,24904,24904,0.094918063,0.004523528
868,869,869,869,2014,0, ,Simcoe St,Wellington St,82.7 M N Front St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.38532248,43.64548763,-79.38556188,43.64605398,-79.38544218,43.64577081,65.82264842,0,105,4,868,869,7929641,Simcoe,St,None,None,Simcoe St,13467593,13467394,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,128297,128297,0.14857544,0.000614873
869,870,870,870,2014,0, ,Kingston Rd,Wood Glen Rd,35 M W Haig Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.27610079,43.68420391,-79.27201422,43.68702434,-79.27406613,43.68562653,454.7554524,0,106,13,869,870,113193,Kingston,Rd,None,None,Kingston Rd,13460704,13460589,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,21354,21354,0.092128118,0.004965761
872,873,873,873,2015,0, ,Finch Ave W,221.7 M E Alexdon Rd,131.4 M W Chesswood Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.48289208,43.76529143,-79.47909456,43.76614574,-79.48099445,43.76572356,320.176477,0,107,2,872,873,11272534,Finch,Ave,W,None,Finch Ave W,13448130,13448241,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,227125,227125,0.276227532,0.003892442
879,880,880,880,2015,0, ,Finch Ave W,Alexdon Rd,221.7 M E Alexdon Rd, , , , , ,Bike Lane, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.48551944,43.76469306,-79.48289208,43.76529143,-79.48420576,43.76499225,221.7611692,0,108,3,879,880,4368192,Finch,Ave,W,None,Finch Ave W,13448395,13448492,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,148509,148509,0.232143569,0.00269464
884,885,885,885,2014,0, ,Brock Ave,Florence St,Seaforth Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43321733,43.6437038,-79.43391893,43.64549186,-79.43356321,43.64459949,206.615922,0,109,7,884,885,1146577,Brock,Ave,None,None,Brock Ave,13467808,13467700,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,233362,233362,0.100433566,0.001921485
885,886,886,886,2014,0, ,Cherry St,Mill St,Lower Son River Trl, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.35634372,43.64939877,-79.35739204,43.65132984,-79.35694385,43.65033006,231.8511711,0,110,7,885,886,30003382,Cherry,St,None,None,Cherry St,30003380,13466692,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,196617,196617,0.062605839,0.002214462
886,887,887,887,2016,2020, ,Lansdowne Ave,Ln 2 S Dundas E Lansdowne,Rideau Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.43915325,43.64697025,-79.43955434,43.64950902,-79.43924861,43.64827054,286.0130987,0,111,10,886,887,30136679,Lansdowne,Ave,None,None,Lansdowne Ave,20079251,30136678,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,237409,237409,0.158772192,0.002605257
887,888,888,888,2014,0, ,Queen's Park Cres,Hoskin Ave,Wellesley St W, , , , , ,Bi-Directional Cycle Track, , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.39269744,43.66316187,-79.39389737,43.66502124,-79.39345327,43.6639402,232.5081765,0,112,10,887,888,30030176,Queens Pr S Wellesley,Ramp,None,None,Queens Pr S Wellesley Ramp,13464647,30030175,-1,Against-Digitization,201201,Major Arterial Ramp,CITY OF TORONTO,None,108516,108516,0.09573022,0.002273603
891,892,892,892,2014,0, ,Ranee Ave,3 M W Flemington Rd,Varna Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44868961,43.72327835,-79.44567437,43.72391556,-79.44717873,43.72358569,253.2533194,0,113,10,891,892,30132525,Ranee,Ave,None,None,Ranee Ave,13454478,13454514,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,234916,234916,0.103393822,0.003083142
894,895,895,895,2006,2020, ,College St,Dundas St W,Lansdowne Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43999967,43.65101218,-79.44102031,43.65028126,-79.44050999,43.65064672,115.6497555,0,114,8,894,895,14017912,College,St,None,TO,College St,14017913,13466813,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,13417,13417,0.076858921,0.001255368
895,896,896,896,2006,0, ,Dundas St W,Sorauren Ave,College St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44102031,43.65028126,-79.44532302,43.65120175,-79.4431763,43.65072048,362.3863994,0,115,9,895,896,1145519,Dundas,St,W,None,Dundas St W,13466813,13466784,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,13413,13413,0.093912745,0.004403559
898,899,899,899,2006,0, ,Shaughnessy Blvd,Glentworth Rd,Sheppard Ave E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2012,-79.35332344,43.77372961,-79.35387976,43.775061,-79.35360019,43.7743959,154.5600294,0,116,9,898,899,438266,Shaughnessy,Blvd,None,None,Shaughnessy Blvd,13446712,13446630,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,30477,30477,0.081547114,0.001442949
918,919,919,919,2007,0, ,Roselawn Ave,Salinas Ct,Marlee Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44110905,43.7022534,-79.44906612,43.70055242,-79.44509069,43.70141732,668.6740268,0,117,20,918,919,20010472,Roselawn,Ave,None,None,Roselawn Ave,13458094,20010474,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,17857,17857,0.134372434,0.008136931
919,920,920,920,2007,2021, ,Birmingham St,Islington Ave,Dwight Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.49900658,43.60485683,-79.5063085,43.6032671,-79.50265637,43.6040564,615.4654834,0,118,26,919,920,914271,Birmingham,St,None,None,Birmingham St,13470314,13470326,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,19033,19033,0.141326782,0.007473215
920,921,921,921,2007,0, ,Kingston Rd,Rylander Blvd,401 C W Kingston Rd Ramp, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.14917124,43.797054,-79.14437132,43.80011073,-79.14676888,43.79857858,514.3575461,0,119,9,920,921,4515411,Kingston,Rd,None,None,Kingston Rd,13443303,13443234,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,39192,39192,0.100640411,0.005690605
922,923,923,923,2007,0, ,Brimorton Dr,Bellamy Rd N,Hiscock Blvd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2009,-79.2391654,43.76745209,-79.21975215,43.76988416,-79.22990225,43.77364959,2261.749069,0,120,41,922,923,108018,Brimorton,Dr,None,None,Brimorton Dr,13447002,13446719,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,37363,37363,0.321084516,0.024646577
923,924,924,924,2007,0, ,Brimorton Dr,Brimley Rd,Bellamy Rd N, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2009,-79.25954522,43.76520152,-79.2391654,43.76745209,-79.24901129,43.76540063,1737.087173,0,121,46,923,924,108579,Brimorton,Dr,None,None,Brimorton Dr,13447741,13447783,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,32869,32869,0.183732676,0.02102793
928,929,929,929,2015,2021, ,Bayview Ave,Queen St E,Front St E, , , , , , , , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.35369296,43.65362395,-79.35481726,43.6577689,-79.35339115,43.65523317,515.3566474,0,122,8,928,929,1144096,Bayview,Ave,None,"TO, EY, NY",Bayview Ave,13465426,13465413,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,228434,228434,0.014560884,0.005018533
929,930,930,930,2017,0, ,Renforth Dr,Gentian Dr,Rathburn Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.57950079,43.65140882,-79.58562413,43.66489174,-79.58253774,43.65816145,1577.460057,0,123,22,929,930,910405,Renforth,Dr,None,None,Renforth Dr,13465176,13464781,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,227064,227064,0.296190117,0.014809774
933,934,934,934,2007,2018, ,Greenwood Ave,Danforth Ave,Queen St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.32530801,43.6643976,-79.33238273,43.68148414,-79.3288539,43.6729374,1982.429153,0,124,55,933,934,7795924,Greenwood,Ave,None,None,Greenwood Ave,13463771,13463420,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,25761,25761,0.214815178,0.01849534
940,941,941,941,2009,0, ,Renforth Dr,Bridgetown Dr,Bloor St W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.56365487,43.63530581,-79.56793886,43.63609044,-79.56591005,43.63641897,441.8286578,0,125,9,940,941,11048510,Renforth,Dr,None,None,Renforth Dr,13468937,13468833,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,2146,2146,0.318263864,0.005018777
943,944,944,944,2008,0, ,Vaughan Rd,Winona Dr,St Clair Ave W, , , , , ,Signed Route (No Pavement Markings), , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.42022358,43.68277261,-79.43576666,43.68991547,-79.42796402,43.68879935,1661.097842,0,126,49,943,944,8443,Vaughan,Rd,None,None,Vaughan Rd,13460731,13460459,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,11741,11741,0.206987223,0.018684703
944,945,945,945,2008,0, ,Marlee Ave,Dell Park Ave,Roselawn Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44110905,43.7022534,-79.44590433,43.71415122,-79.44348011,43.70821348,1377.321804,0,127,41,944,945,9246526,Marlee,Ave,None,None,Marlee Ave,13456273,13456127,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,221780,221780,0.109664148,0.012828671
945,946,946,946,2008,0, ,Stephen Dr,Cloverhill Rd,The Queensway, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.48426271,43.63038175,-79.48628785,43.63517075,-79.48528028,43.63277401,556.6670101,0,128,19,945,946,7940072,Stephen,Dr,None,None,Stephen Dr,13469148,13469048,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,20866,20866,0.113066114,0.005200387
946,947,947,947,2008,2019, ,The Pond Rd,Shoreham Dr,Sentinel Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.51139915,43.77244242,-79.50249285,43.77001129,-79.50774,43.77023948,874.0347009,0,129,8,946,947,30032952,The Pond,Rd,None,None,The Pond Rd,13447313,13447688,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,187039,187039,0.453650407,0.010052753
947,948,948,948,2008,0, ,Eastern Ave,Logan Ave,Leslie St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.34139787,43.65787815,-79.32947694,43.66154589,-79.33532829,43.65921027,1079.441905,0,130,46,947,948,8353597,Eastern,Ave,None,None,Eastern Ave,13465194,13465136,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,73091,73091,0.122844193,0.012764735
948,949,949,949,2008,0, ,Rogers Rd,Old Weston Rd,Oakwood Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43869377,43.687134,-79.46767509,43.68189535,-79.45304943,43.68389719,2437.488572,0,131,100,948,949,14658856,Rogers,Rd,None,None,Rogers Rd,14658857,14064681,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,52408,52408,0.209278175,0.029646484
949,950,950,950,2008,2009, ,Yonge St,Front St W,Queen Quay W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.37470935,43.6419287,-79.37697432,43.64688479,-79.37590097,43.64438141,581.4409166,0,132,24,949,950,1146204,Yonge,St,None,None,Yonge St,13467425,13467239,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,18912,18912,0.128090384,0.005466784
957,958,958,958,2015,0, ,Bay St,Lake Shore Blvd W,Martin Goodman / Waterfront Trl, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.37679058,43.64107406,-79.37782375,43.643007,-79.37739626,43.64198084,231.2719939,0,133,12,957,958,7929250,Bay,St,None,None,Bay St,13468022,13467909,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,23203,23203,0.114396522,0.002204789
959,960,960,960,2017,0, ,Woodbine Ave,Hartford Ave,Dixon Ave, , , , , ,Sharrows - Arterial - Connector, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.30647516,43.67043595,-79.30694906,43.67157515,-79.30671211,43.67100555,132.2160074,0,134,5,959,960,8593731,Woodbine,Ave,None,None,Woodbine Ave,13463206,13463036,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,21279,21279,0.132216007,0.001233837
961,962,962,962,2008,0, ,Wellesley St E,Ontario St,Parliament St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2022,-79.37219784,43.66763713,-79.36956194,43.66817463,-79.37088206,43.66791568,221.1946294,0,135,10,961,962,10923994,Wellesley,St,E,None,Wellesley St E,13463868,13463818,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,25178,25178,0.108716326,0.002692674
962,963,963,963,2008,2019, ,Royal York Rd,Ashley Rd,Lambeth Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.5173426,43.660864,-79.5184037,43.66315468,-79.51788768,43.66200246,268.5755434,0,136,9,962,963,910416,Royal York,Rd,None,None,Royal York Rd,13465202,13465028,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,227053,227053,0.12218748,0.00252545
963,964,964,964,2009,0, ,Renforth Dr,West Wareside Rd,8.6 M W Bridgetown Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.56804126,43.63611242,-79.5788473,43.64973134,-79.57250035,43.64337127,1838.595325,0,137,40,963,964,30079748,Renforth,Dr,None,None,Renforth Dr,30009323,13468669,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,189065,189065,0.243340191,0.018411851
970,971,971,971,2018,0, ,Gateway Blvd,Don Mills Rd,65.1 M E Don Mills Rd, , , , , ,Sharrows, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.33558449,43.71458875,-79.336351,43.7144037,-79.33596774,43.71449623,65.10477948,0,138,3,970,971,445346,Don Mills,Rd,None,None,Don Mills Rd,13455700,13455359,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,27543,27543,0.251221257,0.000788531
971,972,972,972,2018,0, ,Gateway Blvd,65.1 M E Don Mills Rd,60.8 M W Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33558449,43.71458875,-79.3349016,43.71475361,-79.33524304,43.71467118,58.00191436,0,139,1,971,972,445345,Gateway,Blvd,None,None,Gateway Blvd,13455608,13455700,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,27215,27215,0.183908446,0.000702508
972,973,973,973,2018,0, ,Gateway Blvd,60.8 M W Grenoble Dr,148.3 M N Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.3349016,43.71475361,-79.33126689,43.71313852,-79.33260978,43.71452686,397.2198734,0,140,6,972,973,30093146,Gateway,Blvd,None,None,Gateway Blvd,30093144,13455608,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,204922,204922,0.246401908,0.004393069
973,974,974,974,2018,0, ,Gateway Blvd,148.3 M N Grenoble Dr,Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.33126689,43.71313852,-79.33027558,43.71202154,-79.33074077,43.71261154,148.3149226,0,141,4,973,974,8929149,Gateway,Blvd,None,None,Gateway Blvd,13456082,13455883,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,27222,27222,0.154587809,0.001502734
974,975,975,975,2018,0, ,Gateway Blvd,Grenoble Dr,Sunny Glenway, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.33123581,43.71075277,-79.33027558,43.71202154,-79.33047492,43.71122246,175.1882778,0,142,5,974,975,445767,Gateway,Blvd,None,None,Gateway Blvd,13456290,13456157,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,27289,27289,0.119074601,0.001778783
975,976,976,976,2018,0, ,Gateway Blvd,Sunny Glenway,Don Mills Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33439498,43.70999645,-79.33123581,43.71075277,-79.33281505,43.71037318,268.3088162,0,143,5,975,976,8929157,Gateway,Blvd,None,None,Gateway Blvd,13456414,13456290,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,27290,27290,0.268308502,0.003249776
976,977,977,977,2018,0, ,Deauville Lane,St Dennis Dr,Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.3314064,43.71836023,-79.33037857,43.71657505,-79.33089248,43.71746764,214.9456354,0,144,6,976,977,30140297,St Dennis,Dr,None,None,St Dennis Dr,30140295,13455059,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,240352,240352,0.204300064,0.002059931
977,978,978,978,2018,0, ,Grenoble Dr,Deaville Lane,Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.33037857,43.71657505,-79.32808543,43.71561312,-79.32909627,43.71536918,283.9636868,0,145,7,977,978,445235,Grenoble,Dr,None,None,Grenoble Dr,13455532,13455493,0,Not One-Way,201500,Local,CITY OF TORONTO,None,204949,204949,0.131898438,0.003061658
983,984,984,984,2018,0, ,Grenoble Dr,Grenoble Dr,Gateway Blvd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33027558,43.71202154,-79.32808543,43.71561312,-79.3274204,43.71447366,605.2380732,0,146,14,983,984,445604,Grenoble,Dr,None,None,Grenoble Dr,13455969,13456040,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,27224,27224,0.128807256,0.00647578
984,985,985,985,2018,0, ,Grenoble Dr,Gateway Blvd,139 M W Flemingdon Park Trl, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.33418573,43.7149264,-79.33356857,43.715817,-79.33410906,43.71558523,127.3253945,0,147,3,984,985,30140302,Grenoble,Dr,None,None,Grenoble Dr,13455608,30140301,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,240329,240329,0.176132646,0.001297506
985,986,986,986,2018,0, ,Grenoble Dr,81 M W Flemingdon Park Trl,Grenoble Dr, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.3328761,43.715978,-79.33037857,43.71657505,-79.33162553,43.71626877,211.9296362,0,148,7,985,986,30093215,Grenoble,Dr,None,None,Grenoble Dr,30093213,13455339,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,240351,240351,0.103719863,0.002567975
986,987,987,987,2018,0, ,Grenoble Dr,139 M W Flemingdon Park Trl,81 M W Flemingdon Park Trl, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33356857,43.715817,-79.3328761,43.715978,-79.33322234,43.7158975,58.60160164,0,149,2,986,987,30140303,Grenoble,Dr,None,None,Grenoble Dr,30140301,30093280,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,240349,240349,0.091571017,0.000710939
1004,1005,1005,1005,2009,0, ,Annette St,Runnymede Rd,Dundas St W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.45877759,43.66448603,-79.48001518,43.66006013,-79.4695152,43.66282454,1820.397355,0,150,67,1004,1005,10923281,Annette,St,None,None,Annette St,13464799,13464852,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,9235,9235,0.13613099,0.02195854
1009,1010,1010,1010,2009,2016, ,Annette St,Jane St,Runnymede Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.48001518,43.66006013,-79.48812155,43.65826807,-79.4840669,43.65915806,683.6742037,0,151,27,1009,1010,7348654,Annette,St,None,None,Annette St,13465319,13465374,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,5184,5184,0.115405615,0.008303069
