OID_,status,type,bicycle_cl,length,comfort_le,date_creat,time_creat,date_modif,time_modif,len_m,lenm,startx,starty,endx,endy,shape_id,OBJECTID,Join_Count,TARGET_FID,segment_id,full_name,built_stat,one_way,numeric_pr,name,street_typ,octant,plan_statu,ctp_class,ownership,date_creat_1,time_creat_1,date_modif_1,time_modif_1,date_mod_2,time_mod_2,lenkm,Shape_Length
1,EXISTING,REGIONAL,On-Street Bikeway,,,2003-01-21 0:00,00:00.0,,,5.778903712510000,5.778903712510000,-114.2124303,51.122228000000000,-114.2123529,51.122210000000003,1,1,5,0,221714,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,2003-01-21 0:00,00:00.0,,,2003-01-21 0:00,00:00.0,0.076058877,7.94765E-05
2,EXISTING,REGIONAL,On-Street Bikeway,,,2009-01-07 0:00,00:00.0,,,6.985760789550000,6.985760789550000,-114.2113872,51.121717500000003,-114.2113342,51.121664299999999,2,2,5,1,292351,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,2009-01-07 0:00,00:00.0,,,1900-01-01 0:00,00:00.0,0.088428645,7.5097E-05
3,EXISTING,REGIONAL,On-Street Bikeway,,,2009-01-07 0:00,00:00.0,,,79.307336506200002,79.307336506200002,-114.2113342,51.121664299999999,-114.2110513,51.120983400000000,3,3,9,2,122646,SCENIC COVE DR NW,Built,FT,0,SCENIC COVE,DR,NW,RP,Collector,Corporate,2009-01-07 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.014341803,0.000757095
4,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,9.945297587870000,9.945297587870000,-114.1888793,51.137781099999998,-114.1890114,51.137748199999997,4,4,5,3,139824,ARBOUR LAKE WY NW,Built,FT,0,ARBOUR LAKE,WY,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.058603027,0.000136145
5,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,161.512728159000005,161.512728159000005,-114.1866101,51.137923700000002,-114.1888793,51.137781099999998,5,5,6,4,139861,ARBOUR LAKE WY NW,Built,FT,0,ARBOUR LAKE,WY,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2005-03-16 0:00,00:00.0,0.161509734,0.0022846
6,EXISTING,REGIONAL,On-Street Bikeway,,,2005-03-16 0:00,00:00.0,,,24.637164226399999,24.637164226399999,-114.1848222,51.137548600000002,-114.1851462,51.137635000000003,6,6,7,5,72435,NOSE HILL DR NW,Built,FT,0,NOSE HILL,DR,NW,RP,Arterial Street,Corporate,2005-03-16 0:00,00:00.0,,,2016-08-31 0:00,25:51.0,0.012458435,0.000335371
7,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,49.700095350500000,49.700095350500000,-114.1830154,51.136752600000001,-114.1835214,51.137059100000002,7,7,7,6,72447,HAWKSTONE DR NW,Built,FT,0,HAWKSTONE,DR,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2005-03-16 0:00,00:00.0,0.092770347,0.000596918
8,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,48.462681353599997,48.462681353599997,-114.1687491,51.129901500000003,-114.1693145,51.129660800000003,8,8,7,7,66126,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.388256627,0.000619374
9,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,141.277536330999993,141.277536330999993,-114.1719083,51.138674700000003,-114.1721629,51.137424799999998,9,9,7,8,72390,COUNTRY HILLS BV NW,Built,FT,0,COUNTRY HILLS,BV,NW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,,,2016-08-31 0:00,09:38.0,0.011018536,0.001299173
10,INACTIVE,REGIONAL,DECOMMISSIONED,,,,,2015-07-13 0:00,56:41.0,2487.775813969999945,2487.775813969999945,-114.0936936,51.044183199999999,-114.0582717,51.043181300000001,10,10,43,9,31920,10 AV SE,Built,B,0,10,AV,SE,RP,Urban Boulevard,Corporate,,,2015-07-13 0:00,56:41.0,1999-07-21 0:00,00:00.0,0.172303514,0.035442285
11,INACTIVE,REGIONAL,DECOMMISSIONED,,,1999-07-21 0:00,00:00.0,2015-07-13 0:00,56:32.0,172.305178178000006,172.305178178000006,-114.0582717,51.043181300000001,-114.0558174,51.043111199999998,11,11,7,10,31920,10 AV SE,Built,B,0,10,AV,SE,RP,Urban Boulevard,Corporate,1999-07-21 0:00,00:00.0,2015-07-13 0:00,56:32.0,1999-07-21 0:00,00:00.0,0.172303514,0.002455314
12,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,121.749631222999994,121.749631222999994,-114.2584465,51.090720300000001,-114.256714,51.090731900000002,12,12,8,11,113250,VALLEY RIDGE DR NW,Built,FT,0,VALLEY RIDGE,DR,NW,RP,Collector,Corporate,,,,,1999-07-21 0:00,00:00.0,0.209311125,0.001734602
13,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,1.997523991230000,1.997523991230000,-114.2245606,51.122169399999997,-114.2245519,51.122152300000003,13,13,6,12,114049,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,,,,,2002-12-30 0:00,00:00.0,0.185412647,1.91857E-05
14,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,10.779988260800000,10.779988260800000,-114.203981,51.114905700000001,-114.2038534,51.114851500000000,14,14,7,13,73703,SILVERGROVE DR NW,Built,FT,0,SILVERGROVE,DR,NW,RP,Collector,Corporate,,,,,1999-07-21 0:00,00:00.0,0.013242474,0.00013864
15,EXISTING,REGIONAL,On-Street Bikeway,,,2001-01-22 0:00,00:00.0,,,303.236534145000007,303.236534145000007,-114.2146879,51.119398699999998,-114.2181132,51.117790399999997,15,15,6,14,180725,SCURFIELD WY NW,Built,B,0,SCURFIELD,WY,NW,RP,Collector,Corporate,2001-01-22 0:00,00:00.0,,,2004-12-07 0:00,00:00.0,0.040443193,0.003816071
16,EXISTING,REGIONAL,On-Street Bikeway,,,2001-01-22 0:00,00:00.0,,,83.713981650099996,83.713981650099996,-114.2135209,51.119555599999998,-114.2146879,51.119398699999998,16,16,7,15,180725,SCURFIELD WY NW,Built,B,0,SCURFIELD,WY,NW,RP,Collector,Corporate,2001-01-22 0:00,00:00.0,,,2004-12-07 0:00,00:00.0,0.040443193,0.001178445
17,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,24.771319763299999,24.771319763299999,-114.2050836,51.117909200000000,-114.205377,51.118033599999997,17,17,7,16,72843,NOSE HILL DR NW,Built,FT,0,NOSE HILL,DR,NW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.013457657,0.000318689
18,EXISTING,REGIONAL,On-Street Bikeway,,,2003-03-11 0:00,00:00.0,,,37.278730539999998,37.278730539999998,-114.1563461,51.105439199999999,-114.1559039,51.105252700000001,18,18,5,17,223198,DALHOUSIE DR NW,Built,FT,0,DALHOUSIE,DR,NW,RP,Arterial Street,Corporate,2003-03-11 0:00,00:00.0,,,2003-03-13 0:00,00:00.0,0.0372786,0.000479921
19,EXISTING,REGIONAL,On-Street Bikeway,,,2003-03-11 0:00,00:00.0,,,10.453706724200000,10.453706724200000,-114.1564701,51.105491499999999,-114.1563461,51.105439199999999,19,19,7,18,223198,DALHOUSIE DR NW,Built,FT,0,DALHOUSIE,DR,NW,RP,Arterial Street,Corporate,2003-03-11 0:00,00:00.0,,,2003-03-13 0:00,00:00.0,0.0372786,0.000134578
20,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,166.607635933000012,166.607635933000012,-114.1611301,51.141957400000003,-114.1591958,51.141165800000003,20,20,7,19,94207,HAMPTONS BV NW,Built,FT,0,HAMPTONS,BV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.166604945,0.002130724
21,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,10.901934270400000,10.901934270400000,-114.1451573,51.141227100000002,-114.1452542,51.141150400000001,21,21,5,20,127473,HAMPTONS BV NW,Built,FT,0,HAMPTONS,BV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.049441767,0.00012361
22,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,16.271815017500000,16.271815017500000,-114.1492929,51.140705199999999,-114.1494618,51.140605100000002,22,22,6,21,140263,,Built,FT,0,,,,RP,Residential Street,Private,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.088576877,0.000196627
23,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,143.647861798999998,143.647861798999998,-114.1351296,51.130609200000002,-114.1367564,51.129828900000000,23,23,5,22,76099,EDGEBROOK DR NW,Built,FT,0,EDGEBROOK,DR,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.08336293,0.001808217
24,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,96.719213263200004,96.719213263200004,-114.1451573,51.141227100000002,-114.1440741,51.140687200000002,24,24,8,23,127472,HAMPTONS BV NW,Built,FT,0,HAMPTONS,BV,NW,RP,Collector,Corporate,,,,,2002-12-30 0:00,00:00.0,0.055659203,0.0012103
25,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,15.996219997300001,15.996219997300001,-114.1367564,51.129828900000000,-114.1369452,51.129747899999998,25,25,4,24,76103,EDGEBROOK DR NW,Built,FT,0,EDGEBROOK,DR,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2005-10-18 0:00,00:00.0,0.156695296,0.000205443
26,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,156.188390295000005,156.188390295000005,-114.1297829,51.138800500000002,-114.1279883,51.138005200000002,26,26,6,25,114584,EDGEBROOK BV NW,Built,FT,0,EDGEBROOK,BV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.156186476,0.001983939
27,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,141.685635934000004,141.685635934000004,-114.1331988,51.135795999999999,-114.1342217,51.134702099999998,27,27,7,26,105016,EDGEVALLEY WY NW,Built,B,0,EDGEVALLEY,WY,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.366911642,0.001504375
28,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,32.330259042700000,32.330259042700000,-114.0522251,51.089686299999997,-114.0526863,51.089691000000002,28,28,7,27,84966,EDMONTON TR NE,Built,FT,0,EDMONTON,TR,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,,,2007-08-01 0:00,00:00.0,0.036715767,0.000461299
29,EXISTING,REGIONAL,Shared Lane,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,77.493367792599997,77.493367792599997,-114.039617,50.987443200000001,-114.0395429,50.988138200000002,29,29,4,28,235915,73 AV SE,Built,B,0,73,AV,SE,RP,Residential Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,2004-11-04 0:00,00:00.0,0.013186485,0.000698963
30,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:21.0,15.319394124700001,15.319394124700001,-114.0099335,50.999576599999997,-114.0097637,50.999663099999999,30,30,4,29,19432,OGDEN RD SE,Built,B,0,OGDEN,RD,SE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:21.0,2006-08-01 0:00,00:00.0,1.012275462950000,0.000190564
31,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,10.932377698900000,10.932377698900000,-114.0243386,50.916637600000001,-114.0244768,50.916592600000001,31,31,6,30,78385,146 AV SE,Built,FT,0,146,AV,SE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,1999-07-21 0:00,00:00.0,0.406202873,0.000145342
32,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,10.006384555200000,10.006384555200000,-114.024367,50.916476899999999,-114.0242452,50.916523400000003,32,32,6,31,78370,PARKLAND BV SE,Built,FT,0,PARKLAND,BV,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,2002-12-30 0:00,00:00.0,0.166327571,0.000130375
33,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,0.511259277,0.511259277,-114.0242452,50.916523400000003,-114.024239,50.916525800000002,33,33,4,32,78370,PARKLAND BV SE,Built,FT,0,PARKLAND,BV,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,2002-12-30 0:00,00:00.0,0.166327571,6.64802E-06
34,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,2009-01-29 0:00,00:00.0,2021-05-28 0:00,41:08.0,25.705024170600002,25.705024170600002,-114.0741565,51.013855200000002,-114.0739195,51.014026299999998,34,34,6,33,90538,4A ST SW,Built,B,0,4A,ST,SW,RP,Residential Street,Corporate,2009-01-29 0:00,00:00.0,2021-05-28 0:00,41:08.0,2007-02-08 0:00,00:00.0,0.023478621,0.00029674
35,EXISTING,REGIONAL,Shared Lane,,4 - Major Street,2008-04-29 0:00,00:00.0,2021-05-28 0:00,44:26.0,408.728328067000007,408.728328067000007,-114.0662287,51.023244499999997,-114.0706929,51.025240599999997,35,35,9,34,90629,MISSION RD SW,Built,B,0,MISSION,RD,SW,RP,Collector,Corporate,2008-04-29 0:00,00:00.0,2021-05-28 0:00,44:26.0,2004-12-07 0:00,00:00.0,0.056173009,0.005090707
36,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2009-01-29 0:00,00:00.0,2021-05-28 0:00,44:21.0,14.854257374299999,14.854257374299999,-114.0751155,51.014104500000002,-114.075316,51.014061699999999,36,36,5,35,90531,LANSDOWNE AV SW,Built,FT,0,LANSDOWNE,AV,SW,RP,Collector,Corporate,2009-01-29 0:00,00:00.0,2021-05-28 0:00,44:21.0,2007-02-07 0:00,00:00.0,0.030208374,0.000205017
37,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2009-01-29 0:00,00:00.0,2021-05-28 0:00,44:19.0,8.824925627240001,8.824925627240001,-114.0747083,51.014190800000002,-114.0748144,51.014233300000001,37,37,7,36,90532,LANSDOWNE AV SW,Built,B,0,LANSDOWNE,AV,SW,RP,Collector,Corporate,2009-01-29 0:00,00:00.0,2021-05-28 0:00,44:19.0,2007-02-07 0:00,00:00.0,0.020808765,0.000114333
38,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,25.630708566399999,25.630708566399999,-114.0748144,51.014233300000001,-114.0751155,51.014104500000002,38,38,6,37,90531,LANSDOWNE AV SW,Built,FT,0,LANSDOWNE,AV,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2007-02-07 0:00,00:00.0,0.030208374,0.000328255
39,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,96.639288867100007,96.639288867100007,-114.0763722,50.994961000000004,-114.0768141,50.994144599999998,39,39,14,38,117380,5 ST SW,Built,FT,0,5,ST,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2008-01-16 0:00,00:00.0,0.021966996,0.000939264
40,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,33.917261848800003,33.917261848800003,-114.0942858,50.987207800000000,-114.0943845,50.986920900000001,40,40,5,39,83408,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,2002-12-30 0:00,00:00.0,0.372820913,0.000327812
41,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,32.295856812700002,32.295856812700002,-114.0943845,50.986920900000001,-114.0939657,50.986884699999997,41,41,5,40,83408,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,2002-12-30 0:00,00:00.0,0.372820913,0.000436264
42,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:16.0,24.889639581899999,24.889639581899999,-114.0939657,50.986884699999997,-114.0942753,50.986979499999997,42,42,4,41,226956,75 AV SW,Built,FT,0,75,AV,SW,RP,Collector,Corporate,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:16.0,2003-08-18 0:00,00:00.0,0.032295499,0.000329186
43,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,25.972508547899999,25.972508547899999,-114.0942753,50.986979499999997,-114.0942858,50.987207800000000,43,43,4,42,226954,KEW ST SW,Built,FT,0,KEW,ST,SW,RP,Collector,Corporate,2003-08-18 0:00,00:00.0,2021-05-28 0:00,44:19.0,2003-08-18 0:00,00:00.0,0.033916634,0.00024085
44,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,13.697361651900000,13.697361651900000,-114.0791745,50.964598400000000,-114.0791494,50.964476300000001,44,44,6,43,116916,SOUTHLAND DR SW,Built,FT,0,SOUTHLAND,DR,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,2004-12-29 0:00,00:00.0,0.409989138,0.000124655
45,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,39.725421361999999,39.725421361999999,-114.0792705,50.965064699999999,-114.0791975,50.964710599999997,45,45,6,44,116911,SOUTHLAND DR SW,Built,FT,0,SOUTHLAND,DR,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,2016-08-31 0:00,00:43.0,0.010625012,0.000361552
46,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,12.586192199699999,12.586192199699999,-114.0791975,50.964710599999997,-114.0791745,50.964598400000000,46,46,7,45,116911,SOUTHLAND DR SW,Built,FT,0,SOUTHLAND,DR,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2016-08-31 0:00,00:43.0,0.010625012,0.000114535
47,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:18.0,50.169658303100000,50.169658303100000,-114.0791494,50.964476300000001,-114.0790052,50.964036600000000,47,47,7,46,116923,SACRAMENTO DR SW,Built,FT,0,SACRAMENTO,DR,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:18.0,2002-12-30 0:00,00:00.0,0.050169401,0.000467084
48,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,43.946909589900002,43.946909589900002,-114.0792836,50.965456500000002,-114.0792705,50.965064699999999,48,48,6,47,116947,HADDON RD SW,Built,FT,0,HADDON,RD,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2018-01-22 0:00,45:31.0,0.035532594,0.000399854
49,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,194.103684987000008,194.103684987000008,-114.0857311,50.941617600000001,-114.0854899,50.939879500000004,49,49,6,48,125743,ELBOW DR SW,Built,FT,0,ELBOW,DR,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:29.0,2002-12-30 0:00,00:00.0,0.041150004,0.001754828
50,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,41.150256486700002,41.150256486700002,-114.0854899,50.939879500000004,-114.0854391,50.939511000000003,50,50,6,49,125743,ELBOW DR SW,Built,FT,0,ELBOW,DR,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2002-12-30 0:00,00:00.0,0.041150004,0.000371996
51,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,14.146882333100001,14.146882333100001,-114.0854391,50.939511000000003,-114.0854221,50.939384300000000,51,51,7,50,125743,ELBOW DR SW,Built,FT,0,ELBOW,DR,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2002-12-30 0:00,00:00.0,0.041150004,0.000127865
52,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,2004-01-05 0:00,00:00.0,2021-05-28 0:00,41:08.0,48.965570837900003,48.965570837900003,-114.0774897,50.949419599999999,-114.0775495,50.949826299999998,52,52,4,51,52857,CANFIELD RD SW,Built,B,0,CANFIELD,RD,SW,RP,Residential Street,Corporate,2004-01-05 0:00,00:00.0,2021-05-28 0:00,41:08.0,2007-05-31 0:00,00:00.0,0.039338266,0.000479096
53,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,2011-01-14 0:00,47:37.0,2021-05-28 0:00,41:04.0,7.302753849040000,7.302753849040000,-114.0775495,50.949826299999998,-114.077577,50.949889599999999,53,53,2,52,229535,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,2011-01-14 0:00,47:37.0,2021-05-28 0:00,41:04.0,1900-01-01 0:00,00:00.0,0.048964946,6.90236E-05
54,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,18.799584087300001,18.799584087300001,-114.0445954,50.942088499999997,-114.0447491,50.941950200000001,54,54,6,53,81725,ACADIA DR SE,Built,FT,0,ACADIA,DR,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,1999-07-21 0:00,00:00.0,0.204917771,0.000206766
55,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,57.180958194799999,57.180958194799999,-114.0447491,50.941950200000001,-114.0452203,50.941531200000000,55,55,6,54,125781,ACADIA DR SE,Built,FT,0,ACADIA,DR,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2002-12-30 0:00,00:00.0,0.24967558,0.000630557
56,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,43:29.0,684.508110061000025,684.508110061000025,-114.1563513,51.105603299999999,-114.1475649,51.103478099999997,56,56,23,55,64446,DALHOUSIE DR NW,Built,FT,0,DALHOUSIE,DR,NW,RP,Arterial Street,Corporate,,,2021-05-28 0:00,43:29.0,2002-01-31 0:00,00:00.0,0.046384941,0.009198974
57,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:02.0,132.772783809999993,132.772783809999993,-114.1281817,50.932335799999997,-114.1270451,50.933233399999999,57,57,3,56,183912,WOODHAVEN CR SW,Built,B,0,WOODHAVEN,CR,SW,RP,Residential Street,Corporate,,,2021-05-28 0:00,41:02.0,2001-03-22 0:00,00:00.0,0.075350387,0.001498136
58,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,43:29.0,389.656833658999972,389.656833658999972,-114.1672643,51.056052100000002,-114.1722617,51.057420299999997,58,58,15,57,23616,VILLAGE HT SW,Built,B,0,VILLAGE,HT,SW,RP,Residential Street,Private,,,2021-05-28 0:00,43:29.0,2002-12-30 0:00,00:00.0,0.155634597,0.005229064
59,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:17.0,541.974753747000022,541.974753747000022,-113.9736517,51.088545000000003,-113.9811952,51.088312799999997,59,59,22,58,40813,WHITEFIELD DR NE,Built,B,0,WHITEFIELD,DR,NE,RP,Collector,Corporate,,,2021-05-28 0:00,44:17.0,2001-10-10 0:00,00:00.0,0.105666074,0.007622301
60,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:17.0,1159.259914770000023,1159.259914770000023,-113.9566184,51.055118399999998,-113.9418094,51.055761500000003,60,60,27,59,37250,4 AV NE,Built,B,0,4,AV,NE,RP,Collector,Corporate,,,2021-05-28 0:00,44:17.0,1999-08-24 0:00,00:00.0,0.133485469,0.015545748
61,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,43:28.0,668.666859879999947,668.666859879999947,-114.1805091,51.020393599999998,-114.1759533,51.016055999999999,61,61,31,60,142223,SIERRA MORENA BV SW,Built,FT,0,SIERRA MORENA,BV,SW,RP,Collector,Corporate,,,2021-05-28 0:00,43:28.0,2016-09-29 0:00,27:40.0,0.093349386,0.007486046
62,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:20.0,1018.332732360000023,1018.332732360000023,-114.1088458,50.941454200000003,-114.1089001,50.950607499999997,62,62,25,61,115511,WOODPARK BV SW,Built,FT,0,WOODPARK,BV,SW,RP,Collector,Corporate,,,2021-05-28 0:00,44:20.0,2002-12-30 0:00,00:00.0,0.116830797,0.009154501
63,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,43:28.0,1322.419635299999982,1322.419635299999982,-114.0473449,50.899972900000002,-114.0551733,50.906631300000001,63,63,40,62,38828,SUNVALE DR SE,Built,B,0,SUNVALE,DR,SE,RP,Collector,Corporate,,,2021-05-28 0:00,43:28.0,2004-12-06 0:00,00:00.0,0.100341373,0.014666708
64,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2001-01-22 0:00,00:00.0,2021-05-28 0:00,43:28.0,39.422627189600000,39.422627189600000,-114.2217983,51.116124300000003,-114.2223365,51.116020300000002,64,64,6,63,180762,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,2001-01-22 0:00,00:00.0,2021-05-28 0:00,43:28.0,2001-01-22 0:00,00:00.0,0.025389975,0.000548159
65,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2001-01-22 0:00,00:00.0,2021-05-28 0:00,44:20.0,281.477436607000016,281.477436607000016,-114.2185199,51.117525399999998,-114.2217983,51.116124300000003,65,65,6,64,180757,SCENIC ACRES BV NW,Built,FT,0,SCENIC ACRES,BV,NW,RP,Arterial Street,Corporate,2001-01-22 0:00,00:00.0,2021-05-28 0:00,44:20.0,2001-01-22 0:00,00:00.0,0.03942213,0.0035962
