year_diff,n,n_perc
-7,1,0.5319148936170213
-3,1,0.5319148936170213
-1,5,2.6595744680851063
0,140,74.46808510638297
1,2,1.0638297872340425
2,2,1.0638297872340425
3,1,0.5319148936170213
4,2,1.0638297872340425
5,1,0.5319148936170213
6,1,0.5319148936170213
7,4,2.127659574468085
9,3,1.5957446808510638
10,3,1.5957446808510638
12,9,4.787234042553192
13,3,1.5957446808510638
14,3,1.5957446808510638
15,5,2.6595744680851063
16,1,0.5319148936170213
17,1,0.5319148936170213
