road_type,year,verify_install_year,len,adj_len,road_type_recode,verify_install_type,install_len,upgrade1_len,upgrade1_len_replaced,upgrade2_len,upgrade2_len_replaced
Arterial,2015,,,11.23460865265161,,PBL,4.621901259709231,6.612707392942379,0,0,0
Arterial,2015,,,77.5238485265811,,PL,85.61354350211272,0,8.089694975531609,0,0
Arterial,2015,,,0.9205236883250882,,SR,0.9205236883250882,0,0,0,0
Arterial,2016,,,6.548220090930884,,BUF,4.547121200948608,3.5435872602212077,1.5424883702389307,0,0
Arterial,2016,,,0.10447268551414533,,None,0.10447268551414533,0,0,0,0
Arterial,2016,,,13.111499803814706,,PBL,6.450297573474604,6.661202230340103,0,0,0
Arterial,2016,,,81.87908037266868,,PL,88.79077965828925,1.2264905273087585,8.138189812929332,0,0
Arterial,2016,,,0.9205236883250882,,SR,0.9205236883250882,0,0,0,0
Arterial,2017,,,6.548220090930884,,BUF,4.547121200948608,3.5435872602212077,1.5424883702389307,0,0
Arterial,2017,,,0.10447268551414533,,None,0.10447268551414533,0,0,0,0
Arterial,2017,,,16.51852852529953,,PBL,8.706245243998412,7.81228328130112,0,0,0
Arterial,2017,,,84.11736060104221,,PL,92.0810047120954,1.3256267528371573,9.28927086389035,0,0
Arterial,2017,,,0.9205236883250882,,SR,0.9205236883250882,0,0,0,0
Arterial,2018,,,7.859472677786944,,BUF,5.858373787804667,3.5435872602212077,1.5424883702389307,0,0
Arterial,2018,,,0.10447268551414533,,None,0.10447268551414533,0,0,0,0
Arterial,2018,,,19.694707685232224,,PBL,10.054028090165732,9.640679595066493,0,0,0
Arterial,2018,,,84.60637306924303,,PL,92.57001718029623,1.3256267528371573,9.28927086389035,0,0
Arterial,2018,,,0.9205236883250882,,SR,0.9205236883250882,0,0,0,0
Arterial,2019,,,9.799183853192833,,BUF,7.487388462154462,3.854283761277301,1.5424883702389307,0,0
Arterial,2019,,,0.10447268551414533,,None,0.10447268551414533,0,0,0,0
Arterial,2019,,,20.533235828752574,,PBL,10.054028090165732,10.479207738586844,0,0,0
Arterial,2019,,,83.4571484246666,,PL,92.57001718029623,1.3256267528371573,10.438495508466794,0,0
Arterial,2019,,,0.9205236883250882,,SR,0.9205236883250882,0,0,0,0
Arterial,2020,,,15.97882100489398,,BUF,14.279006856837764,4.706682479030914,3.6976628490077412,0,0.6907945180330438
Arterial,2020,,,0,,None,0.10447268551414533,0,0.10447268551414533,0,0
Arterial,2020,,,49.912764886429414,,PBL,27.675147968989766,21.546822399406608,0,0.6907945180330438,0
Arterial,2020,,,81.41756961918146,,PL,92.64154207733073,5.31532592785217,16.539298386001438,0,0
Arterial,2020,,,0,,SR,0.9205236883250882,0,0.9205236883250882,0,0
Arterial,2021,,,18.331982187804964,,BUF,14.279006856837764,4.706682479030914,3.9838796019479656,0,3.3301724538842534
Arterial,2021,,,0,,None,0.10447268551414533,0,0.10447268551414533,0,0
Arterial,2021,,,59.010790145837106,,PBL,32.90791420420416,22.712111061320133,0,3.390764880312814,0
Arterial,2021,,,86.48159433765247,,PL,98.11341272314338,5.31532592785217,16.94714431334309,0,0
Arterial,2021,,,0,,SR,0.9205236883250882,0,0.9205236883250882,0,0
Arterial,2022,,,18.331982187804964,,BUF,14.279006856837764,4.706682479030914,3.9838796019479656,0,3.3301724538842534
Arterial,2022,,,0,,None,0.10447268551414533,0,0.10447268551414533,0,0
Arterial,2022,,,60.587468308316026,,PBL,32.90791420420416,24.28878922379905,0,3.390764880312814,0
Arterial,2022,,,85.47157789836169,,PL,98.68007444633153,5.31532592785217,18.52382247582201,0,0
Arterial,2022,,,0,,SR,0.9205236883250882,0,0.9205236883250882,0,0
Collector,2001,,,0.4798588564049243,,PL,0.4798588564049243,0,0,0,0
Collector,2007,,,4.76171295001949,,PL,4.76171295001949,0,0,0,0
Collector,2009,,,0,,BUF,0,0,0,0,0
Collector,2009,,,0,,PBL,0,0,0,0,0
Collector,2009,,,21.267642623931806,,PL,21.267642623931806,0,0,0,0
Collector,2010,,,0,,BUF,0,0,0,0,0
Collector,2010,,,0,,PBL,0,0,0,0,0
Collector,2010,,,24.440907309673356,,PL,24.440907309673356,0,0,0,0
Collector,2011,,,0,,BUF,0,0,0,0,0
Collector,2011,,,0,,PBL,0,0,0,0,0
Collector,2011,,,24.440907309673356,,PL,24.440907309673356,0,0,0,0
